"Eff_Date","Course_ID","Offer_Nbr","TTble_for_SPlus","Est_Enrol_Total","Enrol_Component","Summer_Semester","Semester_1","Winter_Semester","Semester_2","Trimester_1","Trimester_2","Trimester_3","Quadmester_1","Quadmester_2","Quadmester_3","Quadmester_4","PCE_1","PCE_2","PCE_3","Summer_Crse_Coordinator","Sem1_Crse_Coordinator","Winter_Crse_Coordinator","Sem2_Crse_Coordinator","Tri1_Crse_Coordinator","Tri2_Crse_Coordinator","Tri3_Crse_Coordinator","Quad1_Crse_Coordinator","Quad2_Crse_Coordinator","Quad3_Crse_Coordinator","Quad4_Crse_Coordinator","PCE1_Crse_Coordinator","PCE2_Crse_Coordinator","PCE3_Crse_Coordinator"
"01/01/2017","002076","4","N","50","","N","N","N","N","N","N","N","N","N","N","N","N","N","N","","","","","","","","","","","","","",""
"01/01/2017","002094","1","Y","85","","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","","","","1003082","","","","","","","","","",""
"01/01/2017","002110","1","Y","75","WRK","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","","","","1064807","","","","","","","","","",""
"01/01/2017","002126","1","Y","90","","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","","","","1169710","","","","","","","","","",""
"01/01/2017","002129","1","Y","83","","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","","","","1000598","","","","","","","","","",""
"01/01/2017","002137","1","Y","300","","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","","","","","","","","","","","","","",""
"01/01/2017","002183","1","N","5","","N","Y","N","Y","N","N","N","N","N","N","N","N","N","N","","","","","","","","","","","","","",""
"01/01/2017","002190","1","N","35","","N","Y","N","Y","N","N","N","N","N","N","N","N","N","N","","1064813","","1064813","","","","","","","","","",""
"01/01/2017","002193","1","N","55","","N","N","N","N","N","N","N","N","N","N","N","N","N","N","","","","","","","","","","","","","",""
"01/01/2017","002255","1","N","20","","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","","1019938","","","","","","","","","","","",""
"01/01/2017","002314","2","Y","50","","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","","1184615","","","","","","","","","","","",""
"01/01/2017","002328","1","Y","170","","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","","1066092","","","","","","","","","","","",""
"01/01/2017","002328","3","N","35","","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","","","","","","","","","","1066092","","","",""
"01/01/2017","002328","4","N","10","","N","N","Y","N","N","N","N","N","N","N","N","N","N","N","","","1065080","","","","","","","","","","",""
"01/01/2017","002365","1","Y","8","LEC","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","","","","","","","1066635","","","","","","",""
"01/01/2017","002365","2","N","30","","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","","","","","","","","","","1066635","","","",""
"01/01/2017","002379","1","Y","5","","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","","1084361","","","","","","","","","","","",""
"01/01/2017","002419","1","Y","24","TUT","N","Y","N","Y","N","N","N","N","N","N","N","N","N","N","","1002971","","1002971","","","","","","","","","",""
"01/01/2017","002427","1","N","35","","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","","","","","","","","","","","","","",""
"01/01/2017","002493","1","N","5","","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","","","","","","","","","","","","","",""
"01/01/2017","002520","1","Y","140","","N","Y","N","Y","N","N","N","N","N","N","N","N","N","N","","1616848","","1616848","","","","","","","","","",""
"01/01/2017","002580","1","Y","48","","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","","1135967","","","","","","","","","","","",""
"01/01/2017","002580","3","N","5","","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","","","","","","","","","","","","","",""
"01/01/2017","002589","1","N","35","","N","N","N","N","N","N","N","N","N","N","N","N","N","N","","","","","","","","","","","","","",""
"01/01/2017","002589","2","N","35","","N","N","N","N","N","N","N","N","N","N","N","N","N","N","","","","","","","","","","","","","",""
"01/01/2017","002599","1","Y","89","","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","","1634301","","","","","","","","","","","",""
"01/01/2017","002618","1","Y","30","LEC","N","Y","N","Y","N","N","N","N","N","N","N","N","N","N","","1655062","","1655062","","","","","","","","","",""
"01/01/2017","002651","1","N","1","","N","N","N","N","N","N","N","N","N","N","N","N","N","N","","","","","","","","","","","","","",""
"01/01/2017","002684","1","Y","5","","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","","1077084","","","","","","","","","","","",""
"01/01/2017","002695","1","N","10","","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","","","","1055008","","","","","","","","","",""
"01/01/2017","002747","1","Y","22","TUT","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","","1154869","","","","","","","","","","","",""
"01/01/2017","002775","1","N","1","","N","N","N","N","N","N","N","N","N","N","N","N","N","N","","","","","","","","","","","","","",""
"01/01/2017","002854","1","N","35","","N","Y","N","Y","N","N","N","N","N","N","N","N","N","N","","1088981","","1088981","","","","","","","","","",""
"01/01/2017","002909","1","Y","400","","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","","1065941","","","","","","","","","","","",""
"01/01/2017","002934","1","N","120","","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","","","","1001478","","","","","","","","","",""
"01/01/2017","002952","1","N","10","","N","Y","N","Y","N","N","N","N","N","N","N","N","N","N","","","","","","","","","","","","","",""
"01/01/2017","003004","1","N","35","","N","Y","N","Y","N","N","N","N","N","N","N","N","N","N","","","","","","","","","","","","","",""
"01/01/2017","003004","2","N","20","","N","N","N","N","N","N","N","N","N","N","N","N","N","N","","","","","","","","","","","","","",""
"01/01/2017","003019","1","N","20","","N","Y","N","Y","N","N","N","N","N","N","N","N","N","N","","","","","","","","","","","","","",""
"01/01/2017","003127","1","Y","200","","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","","","","1064957","","","","","","","","","",""
"01/01/2017","003152","1","N","10","","N","Y","N","Y","N","N","N","N","N","N","N","N","N","N","","","","","","","","","","","","","",""
"01/01/2017","003181","1","N","20","LEC","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","","1065832","","","","","","","","","","","",""
"01/01/2017","003192","1","N","180","UNS","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","","","","1047307","","","","","","","","","",""
"01/01/2017","003223","1","N","20","PFM","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","","","","1066245","","","","","","","","","",""
"01/01/2017","003240","1","N","35","CLN","N","Y","N","Y","N","N","N","N","N","N","N","N","N","N","","1051066","","1051066","","","","","","","","","",""
"01/01/2017","003241","1","Y","170","CBL","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","","","","1103402","","","","","","","","","",""
"01/01/2017","003246","1","Y","25","","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","","1026492","","","","","","","","","","","",""
"01/01/2017","003249","1","Y","170","CLN","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","","","","1215394","","","","","","","","","",""
"01/01/2017","003253","1","Y","170","LEC","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","","","","1006425","","","","","","","","","",""
"01/01/2017","003280","1","N","1","","N","N","N","N","N","N","N","N","N","N","N","N","N","N","","","","","","","","","","","","","",""
"01/01/2017","003283","1","Y","125","LEC","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","","","","1002825","","","","","","","","","",""
"01/01/2017","003288","1","N","100","","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","","1082450","","","","","","","","","","","",""
"01/01/2017","003288","2","Y","50","","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","","1082450","","","","","","","","","","","",""
"01/01/2017","003334","1","Y","20","LEC","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","","","","1064947","","","","","","","","","",""
"01/01/2017","003348","1","N","10","","N","Y","N","Y","N","N","N","N","N","N","N","N","N","N","","1055008","","1055008","","","","","","","","","",""
"01/01/2017","003401","1","N","60","","N","N","N","N","N","N","N","N","N","N","N","N","N","N","","","","","","","","","","","","","",""
"01/01/2017","003455","1","Y","20","LEC","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","","","","1064947","","","","","","","","","",""
"01/01/2017","003498","1","N","10","","N","Y","N","Y","N","N","N","N","N","N","N","N","N","N","","1019064","","1019064","","","","","","","","","",""
"01/01/2017","003522","1","N","35","","N","N","N","N","N","N","N","N","N","N","N","N","N","N","","","","","","","","","","","","","",""
"01/01/2017","003522","2","N","35","","N","N","N","N","N","N","N","N","N","N","N","N","N","N","","","","","","","","","","","","","",""
"01/01/2017","003552","1","N","5","","N","Y","N","Y","N","N","N","N","N","N","N","N","N","N","","1065053","","1065053","","","","","","","","","",""
"01/01/2017","003564","1","Y","25","LEC","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","","","","","","1065880","","","","","","","",""
"01/01/2017","003564","2","N","30","","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","","","","","","","","1065880","","","","","",""
"01/01/2017","003565","1","Y","144","TUT","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","","1100971","","","","","","","","","","","",""
"01/01/2017","003565","2","N","60","","N","N","N","N","N","N","N","N","N","N","N","N","N","N","","","","","","","","","","","","","",""
"01/01/2017","003593","1","N","35","","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","","","","","","","","","","","","","",""
"01/01/2017","003643","1","Y","230","","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","","","","1066219","","","","","","","","","",""
"01/01/2017","003643","3","Y","20","","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","","","","1066219","","","","","","","","","",""
"01/01/2017","003643","4","Y","35","","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","","","","1066219","","","","","","","","","",""
"01/01/2017","003647","1","N","35","","N","Y","N","Y","N","N","N","N","N","N","N","N","N","N","","1051066","","1051066","","","","","","","","","",""
"01/01/2017","003660","1","Y","12","LEC","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","","1164471","","","","","","","","","","","",""
"01/01/2017","003675","1","Y","45","LEC","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","","","","1654403","","","","","","","","","",""
"01/01/2017","003675","2","N","28","LEC","N","N","N","N","N","N","N","N","Y","N","Y","N","N","N","","","","","","","","","1611685","","1654403","","",""
"01/01/2017","003681","1","N","10","","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","","1045671","","","","","","","","","","","",""
"01/01/2017","003718","1","Y","220","","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","","1649274","","","","","","","","","","","",""
"01/01/2017","003762","1","Y","170","CLN","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","","","","1215394","","","","","","","","","",""
"01/01/2017","003808","1","Y","380","","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","","1162367","","","","","","","","","","","",""
"01/01/2017","003823","1","Y","250","","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","","","","1066015","","","","","","","","","",""
"01/01/2017","003826","1","Y","700","WRK","N","Y","N","Y","N","N","N","N","N","N","N","N","N","N","","1135682","","1135682","","","","","","","","","",""
"01/01/2017","003826","2","N","150","","N","Y","N","Y","N","N","N","N","N","N","Y","N","N","N","","1135682","","1135682","","","","","","","1032527","","",""
"01/01/2017","003826","3","N","75","WRK","N","N","N","N","Y","N","N","N","N","N","N","N","N","N","","","","","1221849","","","","","","","","",""
"01/01/2017","003891","1","Y","35","LEC","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","1065860","","","","","","","","","","","","",""
"01/01/2017","003902","1","Y","200","","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","","","","1065941","","","","","","","","","",""
"01/01/2017","003907","1","N","10","","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","","","","1055008","","","","","","","","","",""
"01/01/2017","003916","1","N","20","","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","","","","1066245","","","","","","","","","",""
"01/01/2017","003927","1","N","10","","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","","","","1620376","","","","","","","","","",""
"01/01/2017","003935","1","N","10","","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","","","","","","","","","","","","","",""
"01/01/2017","003966","1","N","35","","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","","","","1066175","","","","","","","","","",""
"01/01/2017","003987","1","Y","20","","N","Y","N","Y","N","N","N","N","N","N","N","N","N","N","","1066245","","1066245","","","","","","","","","",""
"01/01/2017","003988","1","Y","60","LEC","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","","","","1002666","","","","","","","","","",""
"01/01/2017","003989","1","Y","25","","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","","1105183","","","","","","","","","","","",""
"01/01/2017","004013","1","Y","35","","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","","","","","","","","","","","","","",""
"01/01/2017","004025","1","N","35","","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","","","","","","","","","","","","","",""
"01/01/2017","004025","2","N","35","","N","N","N","N","N","N","N","N","N","N","N","N","N","N","","","","","","","","","","","","","",""
"01/01/2017","004049","1","N","35","","N","Y","N","Y","N","N","N","N","N","N","N","N","N","N","","","","","","","","","","","","","",""
"01/01/2017","004049","2","N","35","","N","Y","N","Y","N","N","N","N","N","N","N","N","N","N","","","","","","","","","","","","","",""
"01/01/2017","004049","3","N","35","","N","Y","N","Y","N","N","N","N","N","N","N","N","N","N","","","","","","","","","","","","","",""
"01/01/2017","004055","1","N","35","","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","","","","","","","","","","","","","",""
"01/01/2017","004078","1","Y","25","","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","","1000428","","","","","","","","","","","",""
"01/01/2017","004094","1","Y","20","","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","","1066579","","","","","","","","","","","",""
"01/01/2017","004108","1","N","20","SEM","N","N","N","N","N","N","N","N","N","N","N","N","N","N","","","","","","","","","","","","","",""
"01/01/2017","004145","1","Y","240","","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","","","","1066219","","","","","","","","","",""
"01/01/2017","004234","1","Y","40","LEC","N","N","Y","N","N","N","N","N","N","N","N","N","N","N","","","1064902","","","","","","","","","","",""
"01/01/2017","004236","1","Y","60","","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","","1001687","","","","","","","","","","","",""
"01/01/2017","004242","1","Y","30","","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","","","","1001928","","","","","","","","","",""
"01/01/2017","004267","1","N","35","LEC","N","N","N","N","N","N","N","N","N","N","N","N","N","N","","","","","","","","","","","","","",""
"01/01/2017","004286","1","Y","30","","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","","","","1040909","","","","","","","","","",""
"01/01/2017","004309","1","N","828","TUT","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","1066214","","","","","","","","","","","","",""
"01/01/2017","004309","3","N","70","","N","N","N","N","N","N","N","N","N","N","N","N","N","N","","","","","","","","","","","","","",""
"01/01/2017","004309","4","N","50","","N","N","N","N","N","N","N","N","N","N","N","N","N","N","","","","","","","","","","","","","",""
"01/01/2017","004344","1","Y","0","","N","Y","N","Y","N","N","N","N","N","N","N","N","N","N","","1065053","","1065053","","","","","","","","","",""
"01/01/2017","004413","1","Y","50","","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","","","","1000689","","","","","","","","","",""
"01/01/2017","004435","1","Y","150","","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","","1065347","","","","","","","","","","","",""
"01/01/2017","004439","1","Y","70","","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","","","","1019064","","","","","","","","","",""
"01/01/2017","004447","2","Y","40","","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","","1065031","","","","","","","","","","","",""
"01/01/2017","004449","1","N","20","","N","Y","N","Y","N","N","N","N","N","N","N","N","N","N","","1084361","","1084361","","","","","","","","","",""
"01/01/2017","004468","1","Y","130","","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","","","","1154907","","","","","","","","","",""
"01/01/2017","004468","2","N","35","","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","","","","","","","","","","1002531","","","",""
"01/01/2017","004476","1","N","10","","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","","1055008","","","","","","","","","","","",""
"01/01/2017","004514","1","N","35","","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","","","","","","","","","","","","","",""
"01/01/2017","004578","1","N","10","","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","","","","1055008","","","","","","","","","",""
"01/01/2017","004587","1","Y","22","TUT","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","","","","1101471","","","","","","","","","",""
"01/01/2017","004631","1","Y","20","","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","","","","1080361","","","","","","","","","",""
"01/01/2017","004684","1","N","20","","N","Y","N","Y","N","N","N","N","N","N","N","N","N","N","","1066008","","1066008","","","","","","","","","",""
"01/01/2017","004693","1","N","10","","N","Y","N","Y","N","N","N","N","N","N","N","N","N","N","","1001478","","1001478","","","","","","","","","",""
"01/01/2017","004705","2","N","35","","N","N","N","N","N","N","N","N","N","N","N","N","N","N","","","","","","","","","","","","","",""
"01/01/2017","004705","3","Y","10","LEC","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","","","","","","1066635","","","","","","","",""
"01/01/2017","004724","1","Y","12","LEC","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","","","","1221985","","","","","","","","","",""
"01/01/2017","004774","1","Y","70","","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","1075926","","","","","","","","","","","","",""
"01/01/2017","004785","1","Y","20","","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","1025754","","","","","","","","","","","","",""
"01/01/2017","004806","1","Y","30","TUT","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","","","","1221985","","","","","","","","","",""
"01/01/2017","004806","2","N","30","","N","N","N","N","N","N","N","N","N","N","N","N","N","N","","","","","","","","","","","","","",""
"01/01/2017","004853","1","Y","25","","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","","","","1077084","","","","","","","","","",""
"01/01/2017","004880","1","Y","20","","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","","1018585","","","","","","","","","","","",""
"01/01/2017","004880","2","N","5","","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","","","","","","","","","","","","","",""
"01/01/2017","004945","1","N","35","","N","Y","N","Y","N","N","N","N","N","N","N","N","N","N","","","","","","","","","","","","","",""
"01/01/2017","004949","1","Y","40","LEC","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","","","","1002394","","","","","","","","","",""
"01/01/2017","004967","1","Y","180","","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","","1132639","","","","","","","","","","","",""
"01/01/2017","004971","1","N","35","IND","N","Y","N","Y","N","N","N","N","N","N","N","N","N","N","","","","","","","","","","","","","",""
"01/01/2017","004979","1","N","20","","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","","","","1066245","","","","","","","","","",""
"01/01/2017","005011","1","N","20","","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","","","","1065053","","","","","","","","","",""
"01/01/2017","005049","1","N","5","DST","N","Y","N","Y","N","N","N","N","N","N","N","N","N","N","","1019064","","1019064","","","","","","","","","",""
"01/01/2017","005058","1","Y","100","","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","","","","1067455","","","","","","","","","",""
"01/01/2017","005090","1","N","35","","N","N","N","N","N","N","N","N","N","N","N","N","N","N","","","","","","","","","","","","","",""
"01/01/2017","005104","1","Y","800","WRK","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","","","","1039559","","","","","","","","","",""
"01/01/2017","005139","1","N","35","LEC","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","","1640713","","","","","","","","","","","",""
"01/01/2017","005141","1","Y","120","LEC","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","","1064882","","","","","","","","","","","",""
"01/01/2017","005141","2","N","35","LEC","N","N","N","N","N","N","N","N","N","N","N","N","N","N","","","","","","","","","","","","","",""
"01/01/2017","005156","1","N","10","","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","","1055008","","","","","","","","","","","",""
"01/01/2017","005174","1","N","5","","N","Y","N","Y","N","N","N","N","N","N","N","N","N","N","","","","","","","","","","","","","",""
"01/01/2017","005215","1","N","35","","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","","","","1088981","","","","","","","","","",""
"01/01/2017","005215","2","N","35","","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","","","","","","","","","","","","","",""
"01/01/2017","005224","1","N","50","","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","","","","1064800","","","","","","","","","",""
"01/01/2017","005230","1","Y","25","","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","","","","1001956","","","","","","","","","",""
"01/01/2017","005234","1","N","20","","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","","","","1066245","","","","","","","","","",""
"01/01/2017","005295","1","N","35","","N","Y","N","Y","N","N","N","N","N","N","N","N","N","N","","1066008","","1066008","","","","","","","","","",""
"01/01/2017","005305","1","N","35","","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","","","","","","","","","","","","","",""
"01/01/2017","005340","1","N","10","TTN","N","Y","N","Y","N","N","N","N","N","N","N","N","N","N","","1221698","","1221698","","","","","","","","","",""
