"Eff_Date","Course_ID","Offer_Nbr","Primary_Component","Enrol_Component","Final_Exam","Sect_Size","Contact","SPlus_Templates_Reqd","Component"
"01/01/2017","002255","1","LEC","","Y","30","1.000","2.00","LEC"
"01/01/2017","002314","2","LEC","","N","50","1.000","1.00","TUT"
"01/01/2017","002314","2","LEC","","Y","50","1.000","3.00","LEC"
"01/01/2017","002328","1","LEC","","N","8","2.000","2.00","PRA"
"01/01/2017","002328","1","LEC","","N","25","1.000","1.00","TUT"
"01/01/2017","002328","1","LEC","","Y","170","1.000","2.00","LEC"
"01/01/2017","002328","3","LEC","","N","8","2.000","2.00","PRA"
"01/01/2017","002328","3","LEC","","N","25","1.000","1.00","TUT"
"01/01/2017","002328","3","LEC","","Y","170","1.000","2.00","LEC"
"01/01/2017","002328","4","LEC","","N","8","2.000","2.00","PRA"
"01/01/2017","002328","4","LEC","","N","25","1.000","1.00","TUT"
"01/01/2017","002328","4","LEC","","Y","170","1.000","2.00","LEC"
"01/01/2017","002365","1","LEC","LEC","Y","8","3.000","2.00","LEC"
"01/01/2017","002365","2","LEC","","Y","8","3.000","2.00","LEC"
"01/01/2017","002379","1","LEC","","N","5","2.000","1.00","TUT"
"01/01/2017","002379","1","LEC","","N","5","4.000","2.00","PRA"
"01/01/2017","002379","1","LEC","","Y","5","2.000","1.00","LEC"
"01/01/2017","002419","1","LEC","TUT","N","24","2.000","3.00","TUT"
"01/01/2017","002419","1","LEC","TUT","Y","24","1.000","3.00","LEC"
"01/01/2017","002427","1","PJT","","Y","10","0.000","1.00","PJT"
"01/01/2017","002493","1","THE","","N","5","3.000","1.00","THE"
"01/01/2017","002520","1","WRK","","N","25","3.000","2.00","SEM"
"01/01/2017","002520","1","WRK","","Y","25","1.000","1.00","WRK"
"01/01/2017","002580","1","LEC","","N","48","4.000","1.00","PRA"
"01/01/2017","002580","1","LEC","","Y","48","2.000","1.00","LEC"
"01/01/2017","002580","3","LEC","","N","48","4.000","1.00","PRA"
"01/01/2017","002580","3","LEC","","Y","48","2.000","1.00","LEC"
"01/01/2017","002589","1","LEC","","Y","35","2.000","2.00","LEC"
"01/01/2017","002589","2","LEC","","Y","35","2.000","2.00","LEC"
"01/01/2017","002599","1","LEC","","N","25","1.000","1.00","TUT"
"01/01/2017","002599","1","LEC","","N","50","5.000","3.00","PRA"
"01/01/2017","002599","1","LEC","","Y","70","1.000","3.00","LEC"
"01/01/2017","002618","1","LEC","LEC","N","30","2.000","1.00","LEC"
"01/01/2017","002618","1","LEC","LEC","N","30","4.000","1.00","PRA"
"01/01/2017","002651","1","LEC","","N","1","2.000","1.00","LEC"
"01/01/2017","002684","1","LEC","","Y","5","1.000","3.00","LEC"
"01/01/2017","002695","1","LEC","","Y","10","0.000","1.00","LEC"
"01/01/2017","002747","1","LEC","TUT","N","22","1.000","2.00","TUT"
"01/01/2017","002747","1","LEC","TUT","Y","22","1.000","3.00","LEC"
"01/01/2017","002775","1","LEC","","N","55","2.000","1.00","LEC"
"01/01/2017","002854","1","PJT","","N","5","0.000","1.00","PJT"
"01/01/2017","002909","1","SEM","","N","35","2.000","1.00","TUT"
"01/01/2017","002909","1","SEM","","Y","55","2.000","1.00","LEC"
"01/01/2017","002909","1","SEM","","Y","100","2.000","1.00","SEM"
"01/01/2017","002934","1","LEC","","N","45","1.000","1.00","TUT"
"01/01/2017","002934","1","LEC","","Y","50","1.000","2.00","LEC"
"01/01/2017","002952","1","THE","","N","10","0.000","1.00","THE"
"01/01/2017","003004","1","PJT","","N","5","0.000","1.00","PJT"
"01/01/2017","003004","2","PJT","","N","5","0.000","1.00","PJT"
"01/01/2017","003019","1","LEC","","Y","20","1.000","1.00","LEC"
"01/01/2017","003127","1","LEC","","N","17","3.000","1.00","LAB"
"01/01/2017","003127","1","LEC","","N","200","1.500","1.00","WRK"
"01/01/2017","003127","1","LEC","","Y","200","1.000","3.00","LEC"
"01/01/2017","003152","1","THE","","Y","40","1.000","1.00","THE"
"01/01/2017","003181","1","LEC","LEC","Y","20","2.000","1.00","LEC"
"01/01/2017","003192","1","UNS","UNS","Y","180","0.000","1.00","UNS"
"01/01/2017","003223","1","PFM","PFM","Y","20","4.000","1.00","PFM"
"01/01/2017","003240","1","CLN","CLN","Y","35","0.000","1.00","CLN"
"01/01/2017","003241","1","LEC","CBL","N","9","2.000","3.00","CBL"
"01/01/2017","003241","1","LEC","CBL","N","10","1.000","2.00","TUT"
"01/01/2017","003241","1","LEC","CBL","N","20","1.500","2.00","RES"
"01/01/2017","003241","1","LEC","CBL","N","170","1.000","10.00","LEC"
"01/01/2017","003246","1","LEC","","Y","25","1.000","3.00","LEC"
"01/01/2017","003249","1","CLN","CLN","N","20","1.000","20.00","TUT"
"01/01/2017","003249","1","CLN","CLN","N","20","8.000","10.00","PRA"
"01/01/2017","003249","1","CLN","CLN","N","60","2.000","10.00","LEC"
"01/01/2017","003249","1","CLN","CLN","N","60","8.000","10.00","WRK"
"01/01/2017","003249","1","CLN","CLN","Y","20","2.000","2.00","CLN"
"01/01/2017","003253","1","LEC","LEC","N","8","1.500","1.00","TUT"
"01/01/2017","003253","1","LEC","LEC","N","170","1.000","3.00","LEC"
"01/01/2017","003280","1","LEC","","Y","55","2.000","1.00","LEC"
"01/01/2017","003283","1","LEC","LEC","N","125","1.000","1.00","TUT"
"01/01/2017","003283","1","LEC","LEC","N","125","3.000","3.00","PRA"
"01/01/2017","003283","1","LEC","LEC","Y","125","2.000","1.00","LEC"
"01/01/2017","003288","1","LEC","","N","110","1.000","1.00","PRA"
"01/01/2017","003288","1","LEC","","N","110","1.000","1.00","TUT"
"01/01/2017","003288","1","LEC","","Y","110","2.000","1.00","LEC"
"01/01/2017","003288","2","LEC","","N","110","1.000","1.00","PRA"
"01/01/2017","003288","2","LEC","","N","110","1.000","1.00","TUT"
"01/01/2017","003288","2","LEC","","Y","110","2.000","1.00","LEC"
"01/01/2017","003334","1","LEC","LEC","N","20","2.000","1.00","TUT"
"01/01/2017","003334","1","LEC","LEC","Y","20","2.000","1.00","LEC"
"01/01/2017","003348","1","LEC","","Y","10","0.000","1.00","LEC"
"01/01/2017","003401","1","LEC","","Y","60","1.000","3.00","LEC"
"01/01/2017","003455","1","LEC","LEC","N","20","2.000","1.00","TUT"
"01/01/2017","003455","1","LEC","LEC","Y","20","1.000","2.00","LEC"
"01/01/2017","003498","1","DST","","N","10","0.000","1.00","DST"
"01/01/2017","003522","1","PJT","","Y","5","0.000","1.00","PJT"
"01/01/2017","003522","2","PJT","","Y","5","0.000","1.00","PJT"
"01/01/2017","003552","1","LEC","","Y","10","1.000","1.00","LEC"
"01/01/2017","003564","1","LEC","LEC","Y","24","3.000","1.00","LEC"
"01/01/2017","003564","2","LEC","","Y","24","3.000","1.00","LEC"
"01/01/2017","003565","1","LEC","TUT","N","24","1.000","2.00","TUT"
"01/01/2017","003565","1","LEC","TUT","Y","144","1.000","4.00","LEC"
"01/01/2017","003565","2","LEC","","N","24","1.000","2.00","TUT"
"01/01/2017","003565","2","LEC","","Y","144","1.000","4.00","LEC"
"01/01/2017","003593","1","THE","","N","20","0.000","1.00","THE"
"01/01/2017","003643","1","LEC","","N","25","3.000","1.00","SGD"
"01/01/2017","003643","1","LEC","","N","30","3.000","1.00","PRA"
"01/01/2017","003643","1","LEC","","N","40","1.000","1.00","WRK"
"01/01/2017","003643","1","LEC","","Y","175","1.000","3.00","LEC"
"01/01/2017","003643","3","LEC","","N","25","3.000","1.00","SGD"
"01/01/2017","003643","3","LEC","","N","30","3.000","1.00","PRA"
"01/01/2017","003643","3","LEC","","N","40","1.000","1.00","WRK"
"01/01/2017","003643","3","LEC","","Y","175","1.000","3.00","LEC"
"01/01/2017","003643","4","LEC","","N","25","3.000","1.00","SGD"
