"Acad_Group","Acad_Prog","Prog_Eff_Date","Acad_Plan","Eff_Date","Status","Descr","Short_Desc","Plan_Owner","Pct_Owned"
"ARTS","BABMU","02/01/2017","BMUSTPMSBA","11/05/2011","A","B.Mus St Integrated St/B.A","B.MSIS/BA","Music","100.000"
"ARTS","BABMU","02/01/2017","BMUSTPMTBA","11/05/2011","A","B.Mus St Music Technology/B.A","B.MSMT/BA","Music","100.000"
"ARTS","BABMU","02/01/2017","BMUSTPPBA","11/05/2011","A","B.Mus St Int St Percussion/B.A","B.MSISP/BA","Music","100.000"
"ARTS","BABMU","02/01/2017","BMUSTPSBA","11/05/2011","A","B.Mus St Integ St Strings/B.A","B.MSISS/BA","Music","100.000"
"ARTS","BABMU","02/01/2017","BMUSTPVBA","11/05/2011","A","B.Mus St Integ Studs Voice/B.A","B.MSISV/BA","Music","100.000"
"ARTS","BABMU","02/01/2017","BMUSTPWBA","11/05/2011","A","B.Mus St Integ St Woodwind/B.A","B.MSISW/BA","Music","100.000"
"ARTS","BABSC","01/01/2015","BARTBSCD1","01/01/2015","A","B.Arts with B.Science","B.A/B.Sc","Arts FAO","100.000"
"ARTS","BABSC","01/01/2015","BSCBARTD1","01/01/2015","A","B.Science with B.Arts","B.Sc/B.A","Arts FAO","100.000"
"ARTS","BARTA","01/01/2015","BARTADV","01/01/2015","A","B.Arts (Advanced)","B.Arts(Ad)","Arts FAO","100.000"
"ARTS","BARTS","01/01/2015","BART","01/01/2015","A","B.Arts","B.Arts","Arts FAO","100.000"
"ARTS","BARTS","01/01/2015","BART-PRE96","01/01/2015","A","B.Arts  - pre 1996","B.A(pre96)","Arts FAO","100.000"
"ARTS","BARTS","01/01/2015","BARTASIAN","01/01/2015","A","B.Arts (Asian Studies)","B.A(AsnSt)","Arts FAO","100.000"
"ARTS","BARTS","01/01/2015","BARTCULT","01/01/2015","A","B.Arts (Cultural Studies)","B.A(CultS)","Arts FAO","100.000"
"ARTS","BARTS","01/01/2015","BARTDANCE","01/01/2015","A","B.Arts (Dance)","B.A(Dance)","Arts FAO","100.000"
"ARTS","BARTS","01/01/2015","BARTDRAMA","01/01/2002","I","B.Arts (Drama Studies)","B.A(Drama)","Elder SO","100.000"
"ARTS","BARTS","01/01/2015","BARTEURO","01/01/2015","A","B.Arts (European Studies)","B.A(EurSt)","Arts FAO","100.000"
"ARTS","BARTS","01/01/2015","BARTGENDST","01/01/2015","A","B.Arts (Gender Studies)","B.A (GenS)","Arts FAO","100.000"
"ARTS","BARTS","01/01/2015","BARTINTST","01/01/2015","A","B.Arts (International Studies)","B.A(IntSt)","Arts FAO","100.000"
"ARTS","BARTS","01/01/2015","BARTJURIS","01/01/2015","A","B.Arts (Jurisprudence)","B.A(Juris)","Arts FAO","100.000"
"ARTS","BARTS","01/01/2015","BARTLABST","01/01/2015","A","B.Arts (Labour Studies)","B.A(LabSt)","Arts FAO","100.000"
