"Eff_Date","Course_ID","Offer_Nbr","Offering_Acad_Org","Owner_Acad_Org","Pct_Owned"
"01/01/2017","003891","1","PUBLICHLTH","",""
"01/01/2017","003902","1","ASIANSTD","",""
"01/01/2017","003907","1","SCHPHYSCI","",""
"01/01/2017","003916","1","CASM","",""
"01/01/2017","003927","1","SCHPHYSCI","",""
"01/01/2017","003935","1","LAWS","",""
"01/01/2017","003966","1","CLINNURSE","",""
"01/01/2017","003987","1","CASM","",""
"01/01/2017","003988","1","PAED&REPRO","",""
"01/01/2017","003989","1","MATHSCI","",""
"01/01/2017","004013","1","MATHSCI","",""
"01/01/2017","004025","1","BUSSCH","",""
"01/01/2017","004025","2","BUSSCH","",""
"01/01/2017","004049","1","CIV&ENVENG","",""
"01/01/2017","004049","2","CIV&ENVENG","",""
"01/01/2017","004049","3","CIV&ENVENG","",""
"01/01/2017","004055","1","DENTAL","",""
"01/01/2017","004078","1","SCHBIOSCI","",""
"01/01/2017","004094","1","MATHSCI","",""
"01/01/2017","004108","1","LAWS","",""
"01/01/2017","004145","1","SCHPHYSCI","",""
"01/01/2017","004234","1","SCHAG&WINE","",""
"01/01/2017","004236","1","SCHBIOSCI","",""
"01/01/2017","004242","1","FRENCHSTUD","",""
"01/01/2017","004267","1","ASIANSTD","",""
"01/01/2017","004286","1","PUBLICHLTH","",""
"01/01/2017","004309","1","ECONOMICSS","",""
"01/01/2017","004309","3","ECONOMICSS","",""
"01/01/2017","004309","4","ECONOMICSS","",""
"01/01/2017","004344","1","CASM","",""
"01/01/2017","004413","1","SCHPHYSCI","",""
"01/01/2017","004435","1","LINGUISTIC","",""
"01/01/2017","004439","1","LINGUISTIC","",""
"01/01/2017","004447","2","MATHSCI","",""
"01/01/2017","004449","1","SCHAG&WINE","",""
"01/01/2017","004468","1","COMPSCI","",""
"01/01/2017","004468","2","COMPSCI","",""
"01/01/2017","004476","1","SCHPHYSCI","",""
"01/01/2017","004514","1","DENTAL","",""
"01/01/2017","004578","1","SCHPHYSCI","",""
"01/01/2017","004587","1","ECONOMICSS","",""
"01/01/2017","004631","1","SCHAG&WINE","",""
"01/01/2017","004684","1","SCHAG&WINE","",""
"01/01/2017","004693","1","SCHPHYSCI","",""
"01/01/2017","004705","2","BUSSCH","",""
"01/01/2017","004705","3","BUSSCH","",""
"01/01/2017","004724","1","ECONOMICSS","",""
"01/01/2017","004774","1","SCHBIOSCI","",""
"01/01/2017","004785","1","SCHVETSCI","",""
"01/01/2017","004806","1","ECONOMICSS","",""
"01/01/2017","004806","2","ECONOMICSS","",""
"01/01/2017","004853","1","MATHSCI","",""
